match_key,normalized_type,category,tag1,tag2,tag3
AS32,Airbus Helicopters AS332 Super Puma,Helicopter - Transport,Tactical Transport,Heavy Lift,Rotorcraft
H64,Boeing AH-64 Apache,Helicopter - Attack,Strike,Multi-Role,Rotorcraft
CL2T,Bombardier CL-415,Special Mission,Utility,Amphibious,Twin Turboprop
BE9L,Beechcraft King Air C90,Utility,Utility,Multi-Role,Twin Turboprop
GLF4,Gulfstream IV,Business Jet,Utility,Long Range,Twin Engine
CL60,Bombardier Challenger 600,Business Jet,Utility,Long Range,Twin Engine
BK17,Airbus Helicopters BK117,Helicopter - Utility,Utility,Medium Lift,Rotorcraft
CN35,CASA CN-235,Tactical Airlift,Tactical Transport,Medium Lift,Twin Turboprop
B429,Bell 429 GlobalRanger,Helicopter - Utility,Utility,Medium Lift,Rotorcraft
A332,Airbus A330,Passenger - Widebody,Utility,Long Range,Twin Engine
LYNX,Westland Lynx,Helicopter - Maritime,Maritime Patrol,All-Weather,Rotorcraft
B52,Boeing B-52 Stratofortress,Attack / Strike,Strike,Long Range,Quad Engine
C182,Cessna 182 Skylane,Utility,Utility,Light Lift,Single Engine
A319,Airbus A319,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
G12T,Grob G 120TP,Trainer,Training,Basic Trainer,Single Engine
F15,McDonnell Douglas F-15 Eagle,Fighter / Interceptor,Air Superiority,Multi-Role,Twin Engine
GLEX,Bombardier Global Express,Business Jet,Utility,Long Range,Twin Engine
H53,Sikorsky CH-53 Sea Stallion,Helicopter - Transport,Tactical Transport,Heavy Lift,Rotorcraft
DC10,McDonnell Douglas KC-10 Extender,Tanker,Refueling,Aerial Refueling,Quad Engine
V22,Bell Boeing V-22 Osprey,Special Mission,Tactical Transport,Medium Lift,Twin Turboprop
A109,AgustaWestland AW109,Helicopter - Utility,Utility,Light Lift,Rotorcraft
MI8,Mil Mi-8 / Mi-17,Helicopter - Transport,Tactical Transport,Medium Lift,Rotorcraft
AS55,Airbus Helicopters AS355 Twin Écureuil,Helicopter - Utility,Utility,Light Lift,Rotorcraft
B412,Bell 412,Helicopter - Transport,Utility,Medium Lift,Rotorcraft
F900,Dassault Falcon 900,Business Jet,Utility,Long Range,Jet
SF50,Cirrus SF50 Vision Jet,Business Jet,Utility,Light Lift,Jet
UH1,Bell UH-1 Iroquois,Helicopter - Utility,Utility,Medium Lift,Rotorcraft
F5,Northrop F-5,Fighter / Interceptor,Air Superiority,Multi-Role,Twin Engine
EH10,AgustaWestland AW101 Merlin,Helicopter - Maritime,Maritime Patrol,All-Weather,Rotorcraft
T134,Tupolev Tu-134,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
LJ45,Learjet 45,Business Jet,Utility,Long Range,Twin Engine
P51,North American P-51 Mustang,Special Mission,Training,Multi-Role,Single Engine
C160,Transall C-160,Tactical Airlift,Tactical Transport,Medium Lift,Twin Turboprop
C5M,Lockheed C-5 Galaxy,Strategic Airlift,Strategic Transport,Heavy Lift,Rear Ramp
P3,Lockheed P-3 Orion,Maritime Patrol,Maritime Patrol,High Endurance,Quad Engine
F2TH,Dassault Falcon 2000,Business Jet,Utility,Long Range,Twin Engine
E300,Extra EA-300,Trainer,Training,Basic Trainer,Single Engine
C560,Cessna Citation Ultra / V,Business Jet,Utility,Multi-Role,Twin Engine
C172,Cessna 172 Skyhawk,Trainer,Training,Basic Trainer,Single Engine
E3TF,Boeing E-3 Sentry,AEW&C,Early Warning,Long Range,Quad Engine
C295,Airbus C-295,Tactical Airlift,Tactical Transport,Medium Lift,Twin Turboprop
C27J,Alenia C-27J Spartan,Tactical Airlift,Tactical Transport,Medium Lift,Twin Turboprop
DHC6,de Havilland Canada DHC-6 Twin Otter,Utility,Utility,STOL,Twin Turboprop
PA27,Piper PA-23 Aztec,Utility,Utility,Multi-Role,Twin Engine
B1,Rockwell B-1B Lancer,Attack / Strike,Strike,Long Range,Quad Engine
T6,North American T-6 Texan,Trainer,Training,Basic Trainer,Single Engine
A124,Antonov An-124 Ruslan,Strategic Airlift,Strategic Transport,Heavy Lift,Quad Engine
A320,Airbus A320,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
S64,Sikorsky S-64 Skycrane,Helicopter - Utility,Utility,Heavy Lift,Rotorcraft
DC3T,Basler BT-67,Special Mission,Utility,Multi-Role,Twin Turboprop
FA7X,Dassault Falcon 7X,Business Jet,Utility,Long Range,Jet
IL18,Ilyushin Il-18 / Il-20,ISR / Surveillance,ISR,Sensor Suite,Quad Engine
GAZL,Aérospatiale Gazelle,Helicopter - Utility,Utility,Light Lift,Rotorcraft
BN2P,Britten-Norman Islander,Utility,Utility,STOL,Twin Engine
D228,Dornier 228,Utility,Utility,STOL,Twin Turboprop
B738,Boeing 737-800,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
ST75,Boeing Stearman,Trainer,Training,Basic Trainer,Single Engine
RC3,Republic Seabee,Utility,Utility,Amphibious,Single Engine
H500,Hughes / MD 500,Helicopter - Utility,Utility,Light Lift,Rotorcraft
AN72,Antonov An-72,Tactical Airlift,Tactical Transport,STOL,Twin Engine
EXPL,MD 902 Explorer,Helicopter - Utility,Utility,Light Lift,Rotorcraft
U2,Lockheed U-2,ISR / Surveillance,ISR,High Endurance,Single Engine
EC25,Airbus Helicopters EC225 Super Puma,Helicopter - Transport,Utility,Heavy Lift,Rotorcraft
E121,Embraer EMB-121 Xingu,Utility,Utility,Multi-Role,Twin Turboprop
EC55,Airbus Helicopters EC155,Helicopter - Utility,Utility,Medium Lift,Rotorcraft
MRF1,Dassault Mirage F1,Fighter / Interceptor,Air Superiority,Multi-Role,Jet
P180,Piaggio P.180 Avanti,Utility,Utility,Multi-Role,Twin Turboprop
S76,Sikorsky S-76,Helicopter - Utility,Utility,Medium Lift,Rotorcraft
FA20,Dassault Falcon 20 / HU-25 Guardian,Maritime Patrol,Maritime Patrol,High Endurance,Twin Engine
DH8C,de Havilland Canada DHC-8 Dash 8 Series 300,Regional Passenger,Utility,Multi-Role,Twin Turboprop
ULAC,Ultralight / Microlight,Utility,Training,Light Lift,Single Engine
HUNT,Hawker Hunter,Fighter / Interceptor,Air Superiority,Multi-Role,Jet
AN2,Antonov An-2,Utility,Utility,STOL,Single Engine
Q4,Northrop Grumman MQ-4C Triton,UAV - Recon,ISR,High Endurance,Jet
YK52,Yakovlev Yak-52,Trainer,Training,Basic Trainer,Single Engine
R135,Boeing RC-135,ISR / Surveillance,ISR,Sensor Suite,Quad Engine
PTS2,Pitts Special S-2,Trainer,Training,Basic Trainer,Single Engine
G280,Gulfstream G280,Business Jet,Utility,Long Range,Twin Engine
PC9,Pilatus PC-9,Trainer,Training,Multi-Role,Single Engine
P68,Vulcanair P.68,Utility,ISR,Multi-Role,Twin Engine
DRON,AAI RQ-7 Shadow,UAV - Recon,ISR,Light Lift,Single Engine
SW4,Swearingen Metro,Regional Passenger,Utility,Multi-Role,Twin Turboprop
H25B,Hawker Siddeley HS 125 / BAe 125,Business Jet,Utility,Long Range,Twin Engine
C56X,Cessna Citation XLS,Business Jet,Utility,Multi-Role,Twin Engine
SPIT,Supermarine Spitfire,Special Mission,Training,Multi-Role,Single Engine
B752,Boeing 757,Passenger - Narrowbody,Utility,Long Range,Twin Engine
T206,Cessna T206 Turbo Stationair,Utility,Utility,Light Lift,Single Engine
FA50,Dassault Falcon 50,Business Jet,Utility,Long Range,Jet
L410,Let L-410 Turbolet,Tactical Airlift,Tactical Transport,STOL,Twin Turboprop
B105,MBB Bo 105,Helicopter - Utility,Utility,Light Lift,Rotorcraft
PUMA,Aérospatiale / IAR SA 330 Puma,Helicopter - Transport,Tactical Transport,Medium Lift,Rotorcraft
BE30,Beechcraft King Air B300,Utility,Utility,Multi-Role,Twin Turboprop
D328,Dornier 328,Regional Passenger,Utility,Multi-Role,Twin Turboprop
A4,Douglas A-4 Skyhawk,Attack / Strike,Strike,Carrier Capable,Jet
SR20,Cirrus SR20,Trainer,Training,Basic Trainer,Single Engine
C206,Cessna 206 Stationair,Utility,Utility,Light Lift,Single Engine
EC20,Airbus Helicopters EC120 Colibri,Helicopter - Utility,Training,Light Lift,Rotorcraft
T154,Tupolev Tu-154,Passenger - Narrowbody,Utility,Multi-Role,Jet
S92,Sikorsky S-92,Helicopter - Transport,Utility,Heavy Lift,Rotorcraft
B744,Boeing 747,Passenger - Widebody,Utility,Long Range,Quad Engine
PC6T,Pilatus PC-6 Turbo Porter,Utility,Utility,STOL,Single Engine
B703,Boeing E-8 J-STARS,ISR / Surveillance,ISR,Sensor Suite,Quad Engine
C680,Cessna Citation Sovereign,Business Jet,Utility,Long Range,Twin Engine
ATLA,Dassault-Breguet Atlantique 2,Maritime Patrol,Maritime Patrol,High Endurance,Twin Turboprop
C310,Cessna 310,Utility,Utility,Multi-Role,Twin Engine
A169,Leonardo AW169,Helicopter - Utility,Utility,Medium Lift,Rotorcraft
L39,Aero L-39 Albatros,Trainer,Training,Multi-Role,Jet
Y20,Xian Y-20,Strategic Airlift,Strategic Transport,Heavy Lift,Quad Engine
AC90,Rockwell Commander 690,Utility,Utility,Multi-Role,Twin Turboprop
B763,Boeing 767-300,Passenger - Widebody,Utility,Long Range,Twin Engine
GLF3,Gulfstream III,Business Jet,Utility,Long Range,Twin Engine
PA31,Piper PA-31 Navajo,Utility,Utility,Multi-Role,Twin Engine
A189,AgustaWestland AW189,Helicopter - Transport,Utility,Heavy Lift,Rotorcraft
EC30,Airbus Helicopters EC130,Helicopter - Utility,Utility,Light Lift,Rotorcraft
S2P,Grumman S-2 Tracker,Maritime Patrol,Maritime Patrol,High Endurance,Twin Turboprop
CRJ7,Bombardier CRJ-700,Regional Passenger,Utility,Multi-Role,Twin Engine
V10,Rockwell OV-10 Bronco,Special Mission,Close Air Support,Low Altitude,Twin Turboprop
A148,Antonov An-148,Regional Passenger,Utility,Multi-Role,Twin Engine
PC24,Pilatus PC-24,Business Jet,Utility,Multi-Role,Jet
DA42,Diamond DA-42 MPP,ISR / Surveillance,ISR,Sensor Suite,Twin Engine
DHC2,de Havilland Canada DHC-2 Beaver,Utility,Utility,STOL,Single Engine
A318,Airbus A318,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
PC7,Pilatus PC-7,Trainer,Training,Basic Trainer,Single Engine
DG1T,DG Flugzeugbau DG-1000,Trainer,Training,Basic Trainer,Single Engine
GL5T,Bombardier Global 5000,Business Jet,Utility,Long Range,Twin Engine
G120,Grob G 120,Trainer,Training,Basic Trainer,Single Engine
E2,Northrop Grumman E-2 Hawkeye,AEW&C,Early Warning,Carrier Capable,Twin Turboprop
F260,SIAI-Marchetti SF.260,Trainer,Training,Basic Trainer,Single Engine
B212,Bell 212,Helicopter - Transport,Utility,Medium Lift,Rotorcraft
E35L,Embraer Legacy 600,Business Jet,Utility,Long Range,Twin Engine
A310,Airbus A310,Tanker,Refueling,Aerial Refueling,Twin Engine
PTS1,Pitts Special S-1,Trainer,Training,Basic Trainer,Single Engine
DH82,de Havilland DH.82 Tiger Moth,Trainer,Training,Basic Trainer,Single Engine
F18H,McDonnell Douglas F/A-18 Hornet,Fighter / Interceptor,Air Superiority,Carrier Capable,Twin Engine
E6,Boeing E-6 Mercury,Special Mission,ISR,High Endurance,Quad Engine
CL30,Bombardier Challenger 300,Business Jet,Utility,Long Range,Twin Engine
IL62,Ilyushin Il-62,Passenger - Widebody,Utility,Long Range,Quad Engine
E55P,Embraer Phenom 300,Business Jet,Utility,Multi-Role,Twin Engine
GA6C,Gulfstream G600,Business Jet,Utility,Long Range,Twin Engine
FA8X,Dassault Falcon 8X,Business Jet,Utility,Long Range,Jet
T204,Tupolev Tu-204,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
SHIP,Aerostat / Blimp,ISR / Surveillance,ISR,High Endurance,Single Engine
S61,Sikorsky S-61 / VH-3 Sea King,Helicopter - Transport,Utility,Medium Lift,Rotorcraft
CRJ2,Bombardier CRJ-200,Regional Passenger,Utility,Multi-Role,Twin Engine
HCAT,Grumman F6F Hellcat,Special Mission,Training,Multi-Role,Single Engine
C2,Grumman C-2 Greyhound,Tactical Airlift,Tactical Transport,Carrier Capable,Twin Turboprop
AN30,Antonov An-30,ISR / Surveillance,ISR,Sensor Suite,Twin Turboprop
TBM7,SOCATA TBM 700,Utility,Utility,Multi-Role,Single Engine
GA5C,Gulfstream G500,Business Jet,Utility,Long Range,Twin Engine
SV4,SNCAN Stampe SV.4,Trainer,Training,Basic Trainer,Single Engine
MT,RotorSport MTO Sport,Utility,Utility,Light Lift,Rotorcraft
B733,Boeing 737-300,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
IL96,Ilyushin Il-96,Passenger - Widebody,Utility,Long Range,Quad Engine
DC3,Douglas C-47 Dakota,Tactical Airlift,Tactical Transport,Medium Lift,Twin Engine
BALL,Hot Air Balloon,Utility,Utility,Light Lift,Single Engine
DA62,Diamond DA-62 MPP,ISR / Surveillance,ISR,Sensor Suite,Twin Engine
SF34,SAAB 340,Regional Passenger,Utility,Multi-Role,Twin Turboprop
F406,Cessna F406 Caravan II,Maritime Patrol,Maritime Patrol,High Endurance,Twin Turboprop
A342,Airbus A340,Passenger - Widebody,Utility,Long Range,Quad Engine
LJ60,Learjet 60,Business Jet,Utility,Long Range,Twin Engine
A321,Airbus A321,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
CDUS,RotorSport Calidus,Utility,Training,Light Lift,Rotorcraft
C25C,Cessna Citation CJ4,Business Jet,Utility,Multi-Role,Twin Engine
M28,PZL M28 Skytruck,Tactical Airlift,Tactical Transport,STOL,Twin Turboprop
CL2P,Canadair CL-215,Special Mission,Utility,Amphibious,Twin Turboprop
T34T,Beechcraft T-34 Mentor,Trainer,Training,Basic Trainer,Single Engine
HAR,McDonnell Douglas AV-8B Harrier II,Attack / Strike,Close Air Support,STOL,Jet
R44,Robinson R44,Helicopter - Utility,Utility,Light Lift,Rotorcraft
AT8T,Air Tractor AT-802,Special Mission,Utility,Low Altitude,Single Engine
CL35,Bombardier Challenger 350,Business Jet,Utility,Long Range,Twin Engine
SH36,Short C-23 Sherpa,Tactical Airlift,Tactical Transport,STOL,Twin Turboprop
BE18,Beechcraft Model 18,Trainer,Training,Basic Trainer,Twin Engine
E50P,Embraer Phenom 100,Business Jet,Utility,Light Lift,Twin Engine
B748,Boeing 747-8,Passenger - Widebody,Utility,Long Range,Quad Engine
E145,Embraer ERJ-145,Regional Passenger,Utility,Multi-Role,Twin Engine
E135,Embraer ERJ-135,Regional Passenger,Utility,Multi-Role,Twin Engine
GLF2,Gulfstream II,Business Jet,Utility,Long Range,Twin Engine
DH8B,de Havilland Canada DHC-8 Dash 8 Series 200,Regional Passenger,Utility,Multi-Role,Twin Turboprop
A50,Beriev A-50,AEW&C,Early Warning,Long Range,Quad Engine
MM24,Magni Gyro M-24,Utility,Utility,Light Lift,Rotorcraft
B74S,Boeing 747SP,Passenger - Widebody,Utility,Long Range,Quad Engine
B25,North American B-25 Mitchell,Special Mission,Training,Multi-Role,Twin Engine
SB39,SAAB JAS 39 Gripen,Fighter / Interceptor,Air Superiority,Multi-Role,Jet
B77W,Boeing 777,Passenger - Widebody,Utility,Long Range,Twin Engine
C212,CASA C-212 Aviocar,Tactical Airlift,Tactical Transport,STOL,Twin Turboprop
B742,Boeing 747-200 (E-4B Nightwatch),Special Mission,ISR,Long Range,Quad Engine
CT4,New Zealand Aerospace CT-4 Airtrainer,Trainer,Training,Basic Trainer,Single Engine
B190,Beechcraft 1900,Regional Passenger,Utility,Multi-Role,Twin Turboprop
B722,Boeing 727,Passenger - Narrowbody,Utility,Multi-Role,Jet
B788,Boeing 787 Dreamliner,Passenger - Widebody,Utility,Long Range,Twin Engine
LJ31,Learjet 31,Business Jet,Utility,Long Range,Twin Engine
PA18,Piper PA-18 Super Cub,Utility,Utility,STOL,Single Engine
C550,Cessna Citation SII,Business Jet,Utility,Multi-Role,Twin Engine
G115,Grob G 115 Tutor,Trainer,Training,Basic Trainer,Single Engine
GL7T,Bombardier Global 7500,Business Jet,Utility,Long Range,Twin Engine
ASTR,IAI Astra,Business Jet,Utility,Long Range,Twin Engine
T33,Canadair CT-133 Silver Star,Trainer,Training,Multi-Role,Jet
SC7,Short Skyvan,Utility,Utility,STOL,Twin Turboprop
TCAT,Grumman F7F Tigercat,Special Mission,Training,Multi-Role,Twin Engine
C25B,Cessna Citation CJ3,Business Jet,Utility,Multi-Role,Twin Engine
LJ40,Learjet 40,Business Jet,Utility,Long Range,Twin Engine
K226,Kamov Ka-226,Helicopter - Utility,Utility,Light Lift,Rotorcraft
E3CF,Boeing E-3D Sentry,AEW&C,Early Warning,Long Range,Quad Engine
BU31,CASA 1-131E Jungmann,Trainer,Training,Basic Trainer,Single Engine
SKAR,Sky Arrow 450T,Utility,Utility,Light Lift,Single Engine
EC75,Airbus Helicopters H175,Helicopter - Transport,Utility,Heavy Lift,Rotorcraft
B430,Bell 430,Helicopter - Utility,Utility,Medium Lift,Rotorcraft
B505,Bell 505 Jet Ranger X,Helicopter - Utility,Utility,Light Lift,Rotorcraft
B732,Boeing 737-200,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
KT1,KAI KT-1 Woongbi,Trainer,Training,Basic Trainer,Single Engine
BE36,Beechcraft Bonanza G36,Utility,Utility,Multi-Role,Single Engine
A140,Antonov An-140,Regional Passenger,Utility,Multi-Role,Twin Turboprop
TIGR,Eurocopter Tiger EC665,Helicopter - Attack,Strike,Multi-Role,Rotorcraft
FA10,Dassault Falcon 10,Business Jet,Utility,Long Range,Twin Engine
EXNG,Extra NG,Trainer,Training,Basic Trainer,Single Engine
MM16,Magni Gyro M-16,Utility,Training,Light Lift,Rotorcraft
B77L,Boeing 777-LR,Passenger - Widebody,Utility,Long Range,Twin Engine
MD52,MD 520N,Helicopter - Utility,Utility,Light Lift,Rotorcraft
E737,Boeing E-7A Wedgetail,AEW&C,Early Warning,Long Range,Twin Engine
C750,Cessna Citation X,Business Jet,Utility,Long Range,Twin Engine
B736,Boeing 737-600,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
A345,Airbus A340-500,Passenger - Widebody,Utility,Long Range,Quad Engine
A343,Airbus A340-300,Passenger - Widebody,Utility,Long Range,Quad Engine
AN22,Antonov An-22,Strategic Airlift,Strategic Transport,Heavy Lift,Quad Engine
A3ST,Airbus A300 Beluga,Special Mission,Utility,Heavy Lift,Twin Engine
C55B,Cessna Citation Bravo,Business Jet,Utility,Multi-Role,Twin Engine
C68A,Cessna Citation Latitude,Business Jet,Utility,Long Range,Twin Engine
F35,Lockheed Martin F-35 Lightning II,Fighter / Interceptor,Air Superiority,Multi-Role,Jet
C500,Cessna Citation I,Business Jet,Utility,Multi-Role,Twin Engine
KC2,Kawasaki C-2,Strategic Airlift,Strategic Transport,Heavy Lift,Twin Engine
B734,Boeing 737-400,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
F50,Fokker F50,Regional Passenger,Utility,Multi-Role,Twin Turboprop
DISC,Schempp-Hirth Discus,Trainer,Training,Basic Trainer,Single Engine
G159,Gulfstream I,Utility,Utility,Multi-Role,Twin Turboprop
H25C,BAe 125-1000,Business Jet,Utility,Long Range,Twin Engine
EN48,Enstrom 480,Helicopter - Utility,Training,Light Lift,Rotorcraft
AT43,ATR 42,Regional Passenger,Utility,Multi-Role,Twin Turboprop
B721,Boeing 727-100,Passenger - Narrowbody,Utility,Multi-Role,Jet
DH8D,de Havilland Canada DHC-8-400,Regional Passenger,Utility,Multi-Role,Twin Turboprop
E314,Embraer EMB-314 Super Tucano,Trainer,Training,Multi-Role,Single Engine
G150,Gulfstream G150,Business Jet,Utility,Long Range,Twin Engine
MI24,Mil Mi-24,Helicopter - Attack,Strike,Multi-Role,Rotorcraft
YK50,Yakovlev Yak-50,Trainer,Training,Basic Trainer,Single Engine
A337,Airbus A330 Beluga XL,Special Mission,Utility,Heavy Lift,Twin Engine
CRJ1,Bombardier CRJ-100,Regional Passenger,Utility,Multi-Role,Twin Engine
C551,Cessna Citation II,Business Jet,Utility,Multi-Role,Twin Engine
P750,Pacific Aerospace PAC750XL,Utility,Utility,STOL,Single Engine
